dateNumeric,dateString,associateAmount,basicAmount,totalAmount,associateCount,basicCount,totalCount
"2014-03","2014-March",$400.00,$975.00,$1375.00,16.00,16.00,33
"2014-04","2014-April",$525.00,$1300.00,$1825.00,21.00,21.00,44
"2014-05","2014-May",$500.00,$1100.00,$1600.00,20.00,18.00,40
"2014-06","2014-June",$475.00,$1350.00,$1825.00,19.00,21.00,42
"2014-07","2014-July",$500.00,$1250.00,$1750.00,20.00,20.00,42
"2014-08","2014-August",$450.00,$1300.00,$1750.00,18.00,21.00,41
"2014-09","2014-September",$425.00,$1200.00,$1625.00,17.00,20.00,39
"2014-10","2014-October",$500.00,$1250.00,$1750.00,20.00,21.00,44
"2014-11","2014-November",$450.00,$1025.00,$1475.00,18.00,18.00,37
"2014-12","2014-December",$450.00,$1025.00,$1475.00,18.00,18.00,37
"2015-01","2015-January",$425.00,$975.00,$1400.00,17.00,17.00,35
"2015-02","2015-February",$350.00,$825.00,$1175.00,14.00,14.00,29
"2015-03","2015-March",$350.00,$975.00,$1325.00,14.00,17.00,32
"2015-04","2015-April",$325.00,$925.00,$1250.00,13.00,16.00,31
"2015-05","2015-May",$350.00,$1175.00,$1525.00,14.00,20.00,35
"2015-06","2015-June",$300.00,$1075.00,$1375.00,12.00,18.00,31
"2015-07","2015-July",$325.00,$975.00,$1300.00,13.00,17.00,31
"2015-08","2015-August",$325.00,$975.00,$1300.00,13.00,17.00,31
"2015-09","2015-September",$325.00,$850.00,$1175.00,13.00,16.00,31
"2015-10","2015-October",$325.00,$750.00,$1075.00,13.00,14.00,27
"2015-11","2015-November",$325.00,$800.00,$1125.00,13.00,15.00,28
"2015-12","2015-December",$325.00,$750.00,$1075.00,13.00,14.00,27
"2016-01","2016-January",$350.00,$1000.00,$1350.00,14.00,19.00,33
"2016-02","2016-February",$325.00,$1000.00,$1325.00,13.00,19.00,32
"2016-03","2016-March",$350.00,$1000.00,$1350.00,14.00,19.00,33
"2016-04","2016-April",$375.00,$950.00,$1325.00,15.00,18.00,33
"2016-05","2016-May",$350.00,$950.00,$1300.00,14.00,18.00,33
"2016-06","2016-June",$300.00,$1000.00,$1300.00,12.00,19.00,31
"2016-07","2016-July",$300.00,$1000.00,$1300.00,12.00,19.00,31
"2016-08","2016-August",$275.00,$1000.00,$1275.00,11.00,19.00,30
"2016-09","2016-September",$275.00,$1000.00,$1275.00,11.00,19.00,30
"2016-10","2016-October",$300.00,$950.00,$1250.00,12.00,18.00,30
"2016-11","2016-November",$225.00,$1000.00,$1225.00,9.00,18.00,27
"2016-12","2016-December",$275.00,$1050.00,$1325.00,11.00,19.00,30
"2017-01","2017-January",$275.00,$1100.00,$1375.00,11.00,20.00,31
"2017-02","2017-February",$225.00,$1050.00,$1275.00,9.00,19.00,28
"2017-03","2017-March",$250.00,$1150.00,$1400.00,10.00,21.00,31
"2017-04","2017-April",$225.00,$1200.00,$1425.00,9.00,23.00,32
"2017-05","2017-May",$250.00,$1150.00,$1400.00,10.00,22.00,32
"2017-06","2017-June",$250.00,$1150.00,$1400.00,10.00,22.00,32
"2017-07","2017-July",$275.00,$1150.00,$1425.00,11.00,22.00,33
"2017-08","2017-August",$275.00,$1200.00,$1475.00,11.00,23.00,34
"2017-09","2017-September",$275.00,$1150.00,$1425.00,11.00,22.00,33
"2017-10","2017-October",$300.00,$1150.00,$1450.00,12.00,22.00,34
"2017-11","2017-November",$275.00,$1300.00,$1575.00,11.00,25.00,36
"2017-12","2017-December",$325.00,$1250.00,$1575.00,13.00,24.00,37
"2018-01","2018-January",$400.00,$1350.00,$1750.00,16.00,25.00,41
"2018-02","2018-February",$375.00,$1350.00,$1725.00,15.00,25.00,40
"2018-03","2018-March",$350.00,$1250.00,$1600.00,14.00,23.00,37
"2018-04","2018-April",$375.00,$1350.00,$1725.00,15.00,25.00,40
"2018-05","2018-May",$450.00,$1450.00,$1900.00,18.00,26.00,44
"2018-06","2018-June",$425.00,$1500.00,$1925.00,17.00,28.00,45
"2018-07","2018-July",$475.00,$1550.00,$2025.00,19.00,28.00,47
"2018-08","2018-August",$500.00,$1500.00,$2000.00,20.00,27.00,47
"2018-09","2018-September",$475.00,$1450.00,$1925.00,19.00,26.00,45
"2018-10","2018-October",$500.00,$1350.00,$1850.00,20.00,25.00,45
"2018-11","2018-November",$475.00,$1450.00,$1925.00,19.00,26.00,45
"2018-12","2018-December",$575.00,$1450.00,$2025.00,23.00,26.00,49
"2019-01","2019-January",$550.00,$1450.00,$2000.00,22.00,26.00,49
"2019-02","2019-February",$475.00,$1450.00,$1925.00,19.00,26.00,45
"2019-03","2019-March",$625.00,$1500.00,$2125.00,25.00,27.00,52
"2019-04","2019-April",$625.00,$1650.00,$2275.00,25.00,29.00,54
"2019-05","2019-May",$600.00,$1600.00,$2200.00,24.00,29.00,53
"2019-06","2019-June",$625.00,$1600.00,$2225.00,25.00,29.00,54
"2019-07","2019-July",$625.00,$1600.00,$2225.00,25.00,29.00,54
